"Label (Grouping)","San Mateo County, California!!2024 Estimate","San Mateo County, California!!2023 Estimate","San Mateo County, California!!2024 - 2023 Statistical Significance","San Mateo County, California!!2022 Estimate","San Mateo County, California!!2024 - 2022 Statistical Significance","San Mateo County, California!!2021 Estimate","San Mateo County, California!!2024 - 2021 Statistical Significance","San Mateo County, California!!2020 Estimate","San Mateo County, California!!2024 - 2020 Statistical Significance"
"            Black or African American and Some Other Race","0.2%","0.1%","","0.2%","","0.1%","","(X)",""
"Race alone or in combination with one or more other races","","","","","","","","",""
"    Total population","742,893","726,353","c","729,181","c","737,888","c","(X)",""
"        White","51.0%","50.6%","","51.9%","","51.4%","","(X)",""
"        Black or African American","3.5%","3.1%","*","3.3%","","3.6%","","(X)",""
"        American Indian and Alaska Native","2.1%","2.5%","","2.2%","","2.5%","","(X)",""
"        Asian","36.7%","35.7%","*","35.5%","*","35.1%","*","(X)",""
"        Native Hawaiian and Other Pacific Islander","1.9%","2.2%","","1.8%","","1.9%","","(X)",""
"        Some Other Race","22.2%","21.1%","","21.0%","*","20.5%","*","(X)",""
"HISPANIC OR LATINO AND RACE","","","","","","","","",""
"    Total population","742,893","726,353","c","729,181","c","737,888","c","(X)",""
"        Hispanic or Latino (of any race)","25.0%","24.8%","c","23.8%","c","24.0%","c","(X)",""
"            Mexican","14.1%","15.0%","","13.7%","","13.6%","","(X)",""
"            Puerto Rican","0.5%","0.7%","","0.5%","","0.7%","","(X)",""
"            Cuban","0.2%","0.1%","*","0.3%","","0.2%","","(X)",""
"            Other Hispanic or Latino","10.2%","9.1%","","9.3%","","9.5%","","(X)",""
"        Not Hispanic or Latino","75.0%","75.2%","c","76.2%","c","76.0%","c","(X)",""
"            White alone","33.4%","34.2%","*","35.3%","*","35.7%","*","(X)",""
"            Black or African American alone","1.8%","1.9%","","2.0%","","2.3%","*","(X)",""
"            American Indian and Alaska Native alone","0.1%","0.1%","","0.1%","","0.1%","","(X)",""
"            Asian alone","31.9%","31.6%","","31.6%","","30.9%","*","(X)",""
"            Native Hawaiian and Other Pacific Islander alone","0.9%","1.1%","","1.2%","","1.3%","*","(X)",""
"            Some Other Race alone","0.6%","0.9%","","1.0%","","0.8%","","(X)",""
"            Two or More Races","6.2%","5.4%","","4.9%","*","5.0%","*","(X)",""
"                Two races including Some Other Race","1.0%","1.1%","","0.9%","","1.4%","","(X)",""
"                Two races excluding Some Other Race, and three or more races","5.2%","4.3%","*","4.0%","*","3.6%","*","(X)",""
"Total housing units","290,427","288,325","*","287,401","*","285,583","*","(X)",""
"CITIZEN, VOTING AGE POPULATION","","","","","","","","",""
"    Citizen, 18 and over population","496,082","481,797","*","485,843","*","493,011","","(X)",""
"        Male","48.7%","48.9%","","49.5%","*","49.3%","","(X)",""
"        Female","51.3%","51.1%","","50.5%","*","50.7%","","(X)",""
